Keywrd Phrase Txt,N,SumSearches,ReSearchPercent,SearchBounceRate
diamond rug,15,255,0.20784313725490197,0.03529411764705882
y necklace,5,112,0.10714285714285714,0.017857142857142856
large round mirror,9,127,0.2283464566929134,0.07086614173228346
plastic glasses,3,64,0.1875,0.0625
strivectin,11,243,0.14814814814814814,0.06995884773662552
leather hand bags,2,99,0.06060606060606061,0
outdoor set,9,137,0.17518248175182483,0.051094890510948905
broom,3,118,0.1271186440677966,0.01694915254237288
area rug,66,4077,0.054942359578121165,0.03630120186411577
paint acrylic,1,56,0.017857142857142856,0
kitchen rack,2,64,0.28125,0.015625
acrylic coffee table,28,656,0.17835365853658536,0.06554878048780488
bike pump,2,63,0.07936507936507936,0
drawer,33,635,0.2173228346456693,0.15118110236220472
promise ring,6,134,0.09701492537313433,0.08955223880597014
wool area rug,6,123,0.14634146341463414,0.056910569105691054
octagon rug,4,77,0.2987012987012987,0.06493506493506493
sunbrella sectional,3,55,0.14545454545454545,0.05454545454545454
oversized mirrors,1,107,0.018691588785046728,0
car seat covers,59,1928,0.18931535269709543,0.08765560165975103
fur throw,4,95,0.08421052631578947,0.021052631578947368
nail polish,12,208,0.20192307692307693,0.057692307692307696
nicole miller bedding,5,82,0.2926829268292683,0.17073170731707318
serta perfect sleeper,9,151,0.23841059602649006,0.06622516556291391
workout equipment,4,52,0.2692307692307692,0.09615384615384616
entertainment centers,67,4146,0.08393632416787265,0.0612638687891944
folding bookcase,4,51,0.21568627450980393,0.2549019607843137
paris,34,601,0.28286189683860236,0.08652246256239601
beach wagon,4,75,0.30666666666666664,0.12
sequin pillow,5,101,0.2079207920792079,0
faux silk drapes,4,62,0.14516129032258066,0
double curtain rods,5,80,0.1125,0.0625
hotel bedding,7,151,0.271523178807947,0.059602649006622516
wall hooks,45,1081,0.15448658649398705,0.07585568917668825
l shape couch,13,268,0.19776119402985073,0.13805970149253732
bar stools with seat height 33 or greater,11,207,0.20772946859903382,0.057971014492753624
mixing bowls,12,183,0.2459016393442623,0.03278688524590164
vans women,4,70,0.3142857142857143,0.17142857142857143
sleep sofa,17,303,0.24752475247524752,0.056105610561056105
white sideboard,8,135,0.14814814814814814,0.14814814814814814
jewlery armoire,10,160,0.125,0.04375
cotton curtains,6,102,0.11764705882352941,0.0196078431372549
4x6 rug,28,645,0.15038759689922482,0.04961240310077519
toilet paper holder,70,2633,0.17052791492594,0.08203570072161033
turquoise earrings,15,318,0.20125786163522014,0.031446540880503145
